date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-07-08,TD20 FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,10.0,46.243,462430.0,2.33%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,37.332,746640.0,3.77%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,30.121,602420.0,3.04%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,27.19,543800.0,2.74%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,5.0,28.275,141375.0,0.71%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,5.0,29.414,147070.0,0.74%
2026-07-08,TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,5.0,30.452,152260.0,0.77%
2026-07-08,Cash & Other,Cash&Other,Cash&Other,15029617.31,1.0,15029617.31,75.85%
2026-07-08,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4778885.09,100.0,4778885.09,24.12%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,115.0,70.889,8152235.0,35.67%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,130.0,62.407,8112910.0,35.49%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,130.0,53.661,6975930.0,30.52%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,15.0,50.23,753450.0,3.30%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,15.0,49.219,738285.0,3.23%
2026-07-09,TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,15.0,47.655,714825.0,3.13%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,39.481,789620.0,3.45%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,31.601,632020.0,2.77%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,29.893,597860.0,2.62%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,5.0,29.195,145975.0,0.64%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,5.0,30.278,151390.0,0.66%
2026-07-09,TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,5.0,31.256,156280.0,0.68%
2026-07-09,Cash & Other,Cash&Other,Cash&Other,16327095.96,1.0,16327095.96,71.43%
2026-07-09,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,3879074.59,100.0,3879074.59,16.97%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,115.0,70.653,8125095.0,31.80%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,130.0,59.62,7750600.0,30.34%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,140.0,53.56,7498400.0,29.35%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,25.0,49.71,1242750.0,4.86%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,25.0,48.69,1217250.0,4.76%
2026-07-10,TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,25.0,47.116,1177900.0,4.61%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,39.929,798580.0,3.13%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,33.256,665120.0,2.60%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,30.14,602800.0,2.36%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,10.0,29.076,290760.0,1.14%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,10.0,30.157,301570.0,1.18%
2026-07-10,TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,10.0,31.138,311380.0,1.22%
2026-07-10,Cash & Other,Cash&Other,Cash&Other,17136358.84,1.0,17136358.84,67.07%
2026-07-10,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,3879074.59,100.0,3879074.59,15.18%
