date,index_name,index_code,close,open,high,low,volume,change_pct
2008-12-04,Capital Link Container,CLCI,1536.26,1536.26,1536.26,1536.26,0.0,4.948
2008-12-05,Capital Link Container,CLCI,1637.15,1637.15,1637.15,1637.15,0.0,6.5672
2008-12-08,Capital Link Container,CLCI,1618.89,1618.89,1618.89,1618.89,0.0,-1.1154
2008-12-09,Capital Link Container,CLCI,1572.87,1572.87,1572.87,1572.87,0.0,-2.8427
2008-12-10,Capital Link Container,CLCI,1481.79,1481.79,1481.79,1481.79,0.0,-5.7907
2008-12-11,Capital Link Container,CLCI,1520.31,1520.31,1520.31,1520.31,0.0,2.5996
2008-12-12,Capital Link Container,CLCI,1480.01,1480.01,1480.01,1480.01,0.0,-2.6508
2008-12-15,Capital Link Container,CLCI,1524.75,1524.75,1524.75,1524.75,0.0,3.023
2008-12-16,Capital Link Container,CLCI,1562.52,1562.52,1562.52,1562.52,0.0,2.4771
2008-12-17,Capital Link Container,CLCI,1468.59,1468.59,1468.59,1468.59,0.0,-6.0114
2008-12-18,Capital Link Container,CLCI,1455.19,1455.19,1455.19,1455.19,0.0,-0.9124
2008-12-19,Capital Link Container,CLCI,1397.84,1397.84,1397.84,1397.84,0.0,-3.9411
2008-12-22,Capital Link Container,CLCI,1431.94,1431.94,1431.94,1431.94,0.0,2.4395
2008-12-23,Capital Link Container,CLCI,1442.2,1442.2,1442.2,1442.2,0.0,0.7165
2008-12-24,Capital Link Container,CLCI,1473.01,1473.01,1473.01,1473.01,0.0,2.1363
2008-12-26,Capital Link Container,CLCI,1440.85,1440.85,1440.85,1440.85,0.0,-2.1833
2008-12-29,Capital Link Container,CLCI,1534.86,1534.86,1534.86,1534.86,0.0,6.5246
2008-12-30,Capital Link Container,CLCI,1534.08,1534.08,1534.08,1534.08,0.0,-0.0508
2008-12-31,Capital Link Container,CLCI,1545.7,1545.7,1545.7,1545.7,0.0,0.7575
2009-01-02,Capital Link Container,CLCI,1519.91,1519.91,1519.91,1519.91,0.0,-1.6685
2009-01-05,Capital Link Container,CLCI,1566.22,1566.22,1566.22,1566.22,0.0,3.0469
2009-01-06,Capital Link Container,CLCI,1456.74,1456.74,1456.74,1456.74,0.0,-6.9901
2009-01-07,Capital Link Container,CLCI,1453.93,1453.93,1453.93,1453.93,0.0,-0.1929
2009-01-08,Capital Link Container,CLCI,1415.76,1415.76,1415.76,1415.76,0.0,-2.6253
2009-01-09,Capital Link Container,CLCI,1309.93,1309.93,1309.93,1309.93,0.0,-7.4751
2009-01-12,Capital Link Container,CLCI,1385.17,1385.17,1385.17,1385.17,0.0,5.7438
2009-01-13,Capital Link Container,CLCI,1327.18,1327.18,1327.18,1327.18,0.0,-4.1865
2009-01-14,Capital Link Container,CLCI,1340.02,1340.02,1340.02,1340.02,0.0,0.9675
2009-01-15,Capital Link Container,CLCI,1347.52,1347.52,1347.52,1347.52,0.0,0.5597
2009-01-16,Capital Link Container,CLCI,1259.24,1259.24,1259.24,1259.24,0.0,-6.5513
2009-01-20,Capital Link Container,CLCI,1334.73,1334.73,1334.73,1334.73,0.0,5.9949
2009-01-21,Capital Link Container,CLCI,1304.63,1304.63,1304.63,1304.63,0.0,-2.2551
2009-01-22,Capital Link Container,CLCI,1315.98,1315.98,1315.98,1315.98,0.0,0.87
2009-01-23,Capital Link Container,CLCI,1383.79,1383.79,1383.79,1383.79,0.0,5.1528
2009-01-26,Capital Link Container,CLCI,1422.94,1422.94,1422.94,1422.94,0.0,2.8292
2009-01-27,Capital Link Container,CLCI,1476.56,1476.56,1476.56,1476.56,0.0,3.7683
2009-01-28,Capital Link Container,CLCI,1377.38,1377.38,1377.38,1377.38,0.0,-6.717
2009-01-29,Capital Link Container,CLCI,1333.01,1333.01,1333.01,1333.01,0.0,-3.2213
2009-01-30,Capital Link Container,CLCI,1306.44,1306.44,1306.44,1306.44,0.0,-1.9932
2009-02-02,Capital Link Container,CLCI,1322.34,1322.34,1322.34,1322.34,0.0,1.217
2009-02-03,Capital Link Container,CLCI,1298.03,1298.03,1298.03,1298.03,0.0,-1.8384
2009-02-04,Capital Link Container,CLCI,1314.47,1314.47,1314.47,1314.47,0.0,1.2665
2009-02-05,Capital Link Container,CLCI,1382.52,1382.52,1382.52,1382.52,0.0,5.177
2009-02-06,Capital Link Container,CLCI,1376.74,1376.74,1376.74,1376.74,0.0,-0.4181
2009-02-09,Capital Link Container,CLCI,1344.6,1344.6,1344.6,1344.6,0.0,-2.3345
2009-02-10,Capital Link Container,CLCI,1352.02,1352.02,1352.02,1352.02,0.0,0.5518
2009-02-11,Capital Link Container,CLCI,1386.29,1386.29,1386.29,1386.29,0.0,2.5347
2009-02-12,Capital Link Container,CLCI,1338.37,1338.37,1338.37,1338.37,0.0,-3.4567
2009-02-13,Capital Link Container,CLCI,1227.66,1227.66,1227.66,1227.66,0.0,-8.272
2009-02-17,Capital Link Container,CLCI,1194.89,1194.89,1194.89,1194.89,0.0,-2.6693
2009-02-18,Capital Link Container,CLCI,1185.7,1185.7,1185.7,1185.7,0.0,-0.7691
2009-02-19,Capital Link Container,CLCI,1168.05,1168.05,1168.05,1168.05,0.0,-1.4886
2009-02-20,Capital Link Container,CLCI,1151.0,1151.0,1151.0,1151.0,0.0,-1.4597
