date,portid,portname,country,hub_code,daily_port_calls_total,daily_port_calls_dry_bulk,daily_port_calls_tanker,daily_port_calls_container,import_dry_bulk_kt,export_dry_bulk_kt,import_tanker_kt,export_tanker_kt
2019-08-06,port1069,Qingdao Port,China,port1069,31.0,4.0,3.0,18.0,376.69,4.46,33.84,47.81
2019-08-07,port1069,Qingdao Port,China,port1069,19.0,3.0,3.0,10.0,74.74,0.0,98.04,11.65
2019-08-08,port1069,Qingdao Port,China,port1069,28.0,3.0,3.0,17.0,133.66,16.91,0.0,3.67
2019-08-09,port1069,Qingdao Port,China,port1069,27.0,1.0,4.0,18.0,64.96,0.0,35.18,42.05
2019-08-10,port1069,Qingdao Port,China,port1069,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-08-11,port1069,Qingdao Port,China,port1069,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-08-12,port1069,Qingdao Port,China,port1069,33.0,6.0,3.0,19.0,562.73,0.0,32.78,0.0
2019-08-13,port1069,Qingdao Port,China,port1069,39.0,3.0,5.0,26.0,176.05,8.93,460.78,114.41
2019-08-14,port1069,Qingdao Port,China,port1069,30.0,5.0,2.0,16.0,250.35,8.21,0.0,3.65
2019-08-15,port1069,Qingdao Port,China,port1069,32.0,2.0,3.0,24.0,59.4,4.46,157.86,43.2
2019-08-16,port1069,Qingdao Port,China,port1069,40.0,8.0,4.0,26.0,366.31,40.78,111.57,13.67
2019-08-17,port1069,Qingdao Port,China,port1069,30.0,2.0,7.0,18.0,202.08,0.0,137.19,32.13
2019-08-18,port1069,Qingdao Port,China,port1069,32.0,5.0,2.0,21.0,471.7,4.46,0.0,39.55
2019-08-19,port1069,Qingdao Port,China,port1069,33.0,3.0,4.0,18.0,183.1,22.95,684.31,5.34
2019-08-20,port1069,Qingdao Port,China,port1069,33.0,4.0,9.0,19.0,238.26,27.89,643.66,26.97
2019-08-21,port1069,Qingdao Port,China,port1069,36.0,5.0,6.0,21.0,314.19,0.0,111.26,20.26
2019-08-22,port1069,Qingdao Port,China,port1069,32.0,3.0,6.0,19.0,244.74,4.46,261.68,50.29
2019-08-23,port1069,Qingdao Port,China,port1069,34.0,5.0,4.0,18.0,110.68,31.33,11.76,11.08
2019-08-24,port1069,Qingdao Port,China,port1069,25.0,1.0,5.0,15.0,166.0,0.0,255.64,6.21
