date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-04,Makassar Strait,chokepoint20,2019,1,4,,28,1,,5,29,34,,1711666,1280,,22606,1712946,1735553
2019-01-04,Malacca Strait,chokepoint5,2019,1,4,34,43,5,6,62,88,150,1345748,2957164,26046,14000,3996192,4342960,8339152
2019-01-04,Mindoro Strait,chokepoint27,2019,1,4,3,39,,,5,42,47,27902,2451751,,,43546,2479653,2523199
2019-01-04,Mona Passage,chokepoint24,2019,1,4,6,2,2,,5,10,15,94590,106211,4847,,98623,205649,304273
2019-01-04,Ombai Strait,chokepoint16,2019,1,4,,6,1,,7,7,14,,892307,3682,,134512,895990,1030503
2019-01-04,Oresund Strait,chokepoint10,2019,1,4,6,11,17,2,10,36,46,7951,10260,18336,,14315,36548,50864
2019-01-04,Panama Canal,chokepoint2,2019,1,4,7,3,2,5,8,17,25,236815,81799,19573,16138,86989,354326,441316
2019-01-04,Strait of Hormuz,chokepoint6,2019,1,4,10,11,2,1,35,24,59,448045,279996,22708,8512,1207506,759264,1966770
2019-01-04,Suez Canal,chokepoint1,2019,1,4,17,11,2,2,14,32,46,1044184,430139,3673,3430,759384,1481428,2240812
2019-01-04,Sunda Strait,chokepoint19,2019,1,4,2,11,1,1,6,15,21,29339,463825,2183,7020,40078,502369,542447
2019-01-04,Taiwan Strait,chokepoint11,2019,1,4,73,56,36,6,68,171,239,1311972,1793245,205917,4899,1115689,3316034,4431723
2019-01-04,Torres Strait,chokepoint18,2019,1,4,3,4,1,,2,8,10,51688,83512,5635,,,140836,140836
2019-01-04,Tsugaru Strait,chokepoint13,2019,1,4,15,12,4,3,9,34,43,377081,284469,6094,7614,164984,675259,840244
2019-01-04,Windward Passage,chokepoint23,2019,1,4,4,3,2,1,2,10,12,117995,90925,1389,3833,155251,214143,369394
2019-01-04,Yucatan Channel,chokepoint22,2019,1,4,11,4,5,1,20,21,41,145102,186561,40426,,367672,372090,739762
2019-01-05,Bab el-Mandeb Strait,chokepoint4,2019,1,5,23,12,11,6,22,52,74,1383134,349471,123909,36584,1370689,1893100,3263789
2019-01-05,Balabac Strait,chokepoint25,2019,1,5,2,4,3,,5,9,14,11362,334289,37100,,26608,382753,409361
2019-01-05,Bering Strait,chokepoint26,2019,1,5,,1,,,2,1,3,,47891,,,27828,47891,75720
2019-01-05,Bohai Strait,chokepoint17,2019,1,5,16,61,13,1,18,91,109,211336,2312453,58014,1030,146035,2582834,2728869
2019-01-05,Bosporus Strait,chokepoint3,2019,1,5,8,25,44,1,27,78,105,94513,705657,103637,,373718,903808,1277527
2019-01-05,Cape of Good Hope,chokepoint7,2019,1,5,5,31,3,3,22,42,64,64718,1737393,34136,3772,2008200,1840021,3848221
2019-01-05,Dover Strait,chokepoint9,2019,1,5,41,28,49,13,53,131,184,794615,1068281,156592,32404,868643,2051894,2920538
2019-01-05,Gibraltar Strait,chokepoint8,2019,1,5,28,29,21,5,40,83,123,833014,1350216,88095,9128,866109,2280454,3146564
2019-01-05,Kerch Strait,chokepoint28,2019,1,5,1,2,46,,10,49,59,,5755,82032,,30753,87788,118541
2019-01-05,Korea Strait,chokepoint12,2019,1,5,56,44,45,9,54,154,208,765102,1567115,74561,10875,750070,2417655,3167725
2019-01-05,Lombok Strait,chokepoint15,2019,1,5,,19,1,1,9,21,30,,1828993,2421,161,141074,1831576,1972650
2019-01-05,Luzon Strait,chokepoint14,2019,1,5,7,33,3,2,20,45,65,41509,1865715,15058,4364,1482146,1926648,3408794
2019-01-05,Magellan Strait,chokepoint21,2019,1,5,,2,,,,2,2,,31712,,,,31712,31712
2019-01-05,Makassar Strait,chokepoint20,2019,1,5,4,60,4,,5,68,73,57257,2205579,6123,,88021,2268959,2356981
2019-01-05,Malacca Strait,chokepoint5,2019,1,5,41,44,13,6,87,104,191,1179068,2347697,65544,16503,4429628,3608814,8038443
2019-01-05,Mindoro Strait,chokepoint27,2019,1,5,1,34,3,,6,38,44,8554,1955834,5950,,62082,1970339,2032422
2019-01-05,Mona Passage,chokepoint24,2019,1,5,2,1,2,2,2,7,9,60739,35353,8238,,16976,104331,121307
2019-01-05,Ombai Strait,chokepoint16,2019,1,5,1,5,1,,8,7,15,3154,329394,2043,,214950,334592,549542
2019-01-05,Oresund Strait,chokepoint10,2019,1,5,12,1,32,5,12,50,62,23166,4474,45639,4202,37152,77483,114635
2019-01-05,Panama Canal,chokepoint2,2019,1,5,5,12,2,6,13,25,38,225517,430501,10348,15578,238764,681946,920710
2019-01-05,Strait of Hormuz,chokepoint6,2019,1,5,10,13,3,1,34,27,61,359502,659561,2521,,1830227,1021585,2851813
2019-01-05,Suez Canal,chokepoint1,2019,1,5,20,9,1,1,13,31,44,1218925,777548,4587,5567,628481,2006627,2635109
2019-01-05,Sunda Strait,chokepoint19,2019,1,5,2,10,,,13,12,25,11058,1016748,,,135124,1027806,1162931
2019-01-05,Taiwan Strait,chokepoint11,2019,1,5,84,71,34,9,71,198,269,1573382,2498326,181499,17745,1305485,4270955,5576441
2019-01-05,Torres Strait,chokepoint18,2019,1,5,1,4,1,1,1,7,8,25717,200235,3076,3042,6235,232073,238308
2019-01-05,Tsugaru Strait,chokepoint13,2019,1,5,18,10,3,5,12,36,48,576802,373732,15555,9578,21984,975669,997653
2019-01-05,Windward Passage,chokepoint23,2019,1,5,4,2,2,5,3,13,16,63373,50734,3011,24626,82488,141744,224233
2019-01-05,Yucatan Channel,chokepoint22,2019,1,5,9,6,2,1,30,18,48,102323,143273,41057,,993164,286654,1279819
2019-01-06,Bab el-Mandeb Strait,chokepoint4,2019,1,6,16,12,2,3,18,33,51,1061692,608818,25649,8968,952788,1705129,2657918
2019-01-06,Balabac Strait,chokepoint25,2019,1,6,1,5,1,,3,7,10,5817,137390,10256,,14403,153464,167867
2019-01-06,Bering Strait,chokepoint26,2019,1,6,,2,,1,,3,3,,94192,,3040,,97232,97232
2019-01-06,Bohai Strait,chokepoint17,2019,1,6,14,50,15,1,16,80,96,367372,2411815,66641,1622,244144,2847452,3091596
2019-01-06,Bosporus Strait,chokepoint3,2019,1,6,6,19,48,1,21,74,95,43424,170859,90191,,399212,304475,703687
2019-01-06,Cape of Good Hope,chokepoint7,2019,1,6,4,12,1,2,8,19,27,102893,750789,16147,,370394,869831,1240225
