date,week,month,year,port,in_port,loaded_7_days,due_10_days
2000-11-02,44,10,2000,Gulf,26,54.0,71.0
2000-11-09,45,11,2000,PNW,11,,
2000-11-09,45,11,2000,Gulf,47,45.0,64.0
2000-11-16,46,11,2000,Gulf,38,57.0,74.0
2000-11-16,46,11,2000,PNW,14,,
2000-11-23,47,11,2000,PNW,9,,
2000-11-23,47,11,2000,Gulf,43,43.0,72.0
2000-11-30,48,11,2000,PNW,6,,
2000-11-30,48,11,2000,Gulf,49,54.0,83.0
2000-12-07,49,12,2000,PNW,8,,
2000-12-07,49,12,2000,Gulf,43,50.0,71.0
2000-12-14,50,12,2000,PNW,13,,
2000-12-14,50,12,2000,Gulf,38,50.0,62.0
2000-12-21,51,12,2000,PNW,9,,
2000-12-21,51,12,2000,Gulf,42,48.0,64.0
2000-12-28,52,12,2000,PNW,8,,
2000-12-28,52,12,2000,Gulf,34,34.0,61.0
2001-01-04,1,1,2001,Gulf,32,47.0,54.0
2001-01-04,1,1,2001,PNW,7,,
2001-01-11,2,1,2001,PNW,11,,
2001-01-11,2,1,2001,Gulf,40,44.0,58.0
2001-01-18,3,1,2001,PNW,9,,
2001-01-18,3,1,2001,Gulf,35,43.0,59.0
2001-01-25,4,1,2001,PNW,13,,
2001-01-25,4,1,2001,Gulf,36,48.0,81.0
2001-02-01,5,1,2001,PNW,17,,
2001-02-01,5,1,2001,Gulf,54,52.0,76.0
2001-02-08,6,2,2001,Gulf,45,55.0,73.0
2001-02-08,6,2,2001,PNW,18,,
2001-02-15,7,2,2001,PNW,15,,
2001-02-15,7,2,2001,Gulf,54,50.0,74.0
2001-02-22,8,2,2001,PNW,14,,
2001-02-22,8,2,2001,Gulf,51,54.0,80.0
2001-03-01,9,2,2001,PNW,7,,
2001-03-01,9,2,2001,Gulf,59,45.0,67.0
2001-03-08,10,3,2001,PNW,10,,
2001-03-08,10,3,2001,Gulf,65,44.0,68.0
2001-03-15,11,3,2001,PNW,7,,
2001-03-15,11,3,2001,Gulf,59,55.0,64.0
2001-03-22,12,3,2001,Gulf,57,48.0,61.0
2001-03-22,12,3,2001,PNW,11,,
2001-03-29,13,3,2001,PNW,9,,
2001-03-29,13,3,2001,Gulf,47,55.0,74.0
2001-04-05,14,4,2001,PNW,6,,
2001-04-05,14,4,2001,Gulf,33,50.0,64.0
2001-04-12,15,4,2001,PNW,7,,
2001-04-12,15,4,2001,Gulf,33,56.0,54.0
2001-04-19,16,4,2001,PNW,7,,
2001-04-19,16,4,2001,Gulf,27,46.0,46.0
2001-04-26,17,4,2001,Gulf,18,40.0,46.0
2001-04-26,17,4,2001,PNW,8,,
2001-05-03,18,4,2001,PNW,8,,
2001-05-03,18,4,2001,Gulf,25,42.0,46.0
2001-05-10,19,5,2001,PNW,7,,
2001-05-10,19,5,2001,Gulf,18,39.0,52.0
2001-05-17,20,5,2001,PNW,7,,
2001-05-17,20,5,2001,Gulf,15,43.0,47.0
2001-05-24,21,5,2001,PNW,6,,
2001-05-24,21,5,2001,Gulf,16,44.0,54.0
2001-05-31,22,5,2001,PNW,8,,
2001-05-31,22,5,2001,Gulf,21,28.0,49.0
2001-06-07,23,6,2001,PNW,5,,
2001-06-07,23,6,2001,Gulf,33,30.0,54.0
2001-06-14,24,6,2001,PNW,4,,
2001-06-14,24,6,2001,Gulf,45,32.0,64.0
2001-06-21,25,6,2001,Gulf,26,55.0,46.0
2001-06-21,25,6,2001,PNW,6,,
2001-06-28,26,6,2001,PNW,7,,
2001-06-28,26,6,2001,Gulf,13,54.0,55.0
2001-07-05,27,7,2001,PNW,2,,
2001-07-05,27,7,2001,Gulf,27,40.0,61.0
2001-07-12,28,7,2001,PNW,10,,
2001-07-12,28,7,2001,Gulf,27,42.0,62.0
2001-07-19,29,7,2001,PNW,5,,
2001-07-19,29,7,2001,Gulf,29,43.0,72.0
2001-07-26,30,7,2001,Gulf,42,47.0,65.0
2001-07-26,30,7,2001,PNW,10,,
2001-08-02,31,7,2001,PNW,9,,
2001-08-02,31,7,2001,Gulf,31,50.0,67.0
2001-08-09,32,8,2001,PNW,9,,
2001-08-09,32,8,2001,Gulf,39,48.0,69.0
2001-08-16,33,8,2001,PNW,9,,
